Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status
47,1,High,Full-Time,52,Personal Services (except Private Household),Sales,Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Naturalized US Citizen),Asia,Asia,Asia,Married Filling Jointly both under 65 (MFJ)
42,0,High,Full-Time,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single
16,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
66,0,Bachelors degree,Children or Armed Forces,52,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
31,1,High,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
2,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
39,1,Bachelors degree,Children or Armed Forces,52,Construction,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
22,1,Associates degree (Vocational),Full-Time,6,Education,Professional,White, All other,Single,Child 18 or older,Native,US,US,US,Single
25,1,College,Full-Time,52,Transportation,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
41,1,High,Children or Armed Forces,0,Manufacturing (Durable),Handlers/Cleaners,White, Mexican-American,Married,Spouse of householder,Native,US,US,US,Nonfiler
36,1,High,Children or Armed Forces,52,Communications,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,0,Bachelors degree,Children or Armed Forces,26,Wholesale,Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
49,1,High,Full-Time,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
30,0,Bachelors degree,Children or Armed Forces,52,Business & Repair,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
55,0,High,Children or Armed Forces,52,Construction,Craft & Repair,White, All other,Married (Spouse Absent),Householder,Native,US,US,US,Single
45,0,High,Full-Time,52,Mining,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
57,0,Associates degree (Vocational),Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,Black, All other,Divorced,Householder,Native,US,US,US,Single
36,1,Bachelors degree,Children or Armed Forces,47,Finance Insurance & Real Estate,Sales,Black, All other,Single,Householder,Native,US,US,US,Single
14,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
58,1,College,Full-Time,52,Medical (except Hospitals),Professional,White, All other,Divorced,Householder,Native,US,US,US,Single
2,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
64,1,High,Children or Armed Forces,44,Public Administration,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
51,1,High,Children or Armed Forces,52,Manufacturing (Non-durable),Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
39,0,College,Children or Armed Forces,52,Public Administration,Handlers/Cleaners,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
66,1,College,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
10,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
8,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,Other, Mexican-American,Single,Child under 18 never married,Native,US,US,US,Nonfiler
36,1,Associates degree (Vocational),Children or Armed Forces,52,Finance Insurance & Real Estate,Admin Support (include Clerical),Black, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH)
30,0,Bachelors degree,Children or Armed Forces,52,Education,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
0,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
4,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
56,0,High,Full-Time,52,Manufacturing (Non-durable),Machine Operators & Inspectors,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
26,0,Bachelors degree,Full-Time,48,Personal Services (except Private Household),Services,White, All other,Single,Child 18 or older,Native,US,Europe,US,Single
34,1,College,Part-Time (Usually Part-Time),52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Divorced,Householder,Native,US,US,US,Nonfiler
36,1,High,Full-Time,52,Medical (except Hospitals),Services,White, All other,Single,Householder,Native,US,US,US,Head of Household (HOH)
28,1,College,Full-Time,52,Education,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
30,1,College,Full-Time,52,Wholesale,Sales,White, All other,Separated,Householder,Native,US,US,US,Single
9,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
30,0,High,Children or Armed Forces,52,Transportation,Transportation,Black, All other,Single,Child 18 or older,Native,US,US,US,Single
23,1,Associates degree (Academic),Full-Time,52,Transportation,Admin Support (include Clerical),White, All other,Single,Nonrelative of householder,Native,US,US,US,Single
40,0,Doctorate degree,Full-Time,52,Medical (except Hospitals),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
34,0,High,Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
43,0,High,Children or Armed Forces,52,Manufacturing (Non-durable),Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
32,0,High,Children or Armed Forces,52,Retail,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
54,0,High,Children or Armed Forces,52,Medical (except Hospitals),Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
33,1,College,Full-Time,52,Public Administration,Services,Black, All other,Married (Armed Force Spouse),Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
52,1,High,Full-Time,20,Communications,Admin Support (include Clerical),White, Mexican-American,Single,Householder,Native,US,US,US,Single
43,1,Bachelors degree,Full-Time,52,Other professional services,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
24,1,Associates degree (Academic),Full-Time,52,Social Services,Management,Native American/Aleut/Eskimo, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
21,0,High,Children or Armed Forces,40,Construction,Handlers/Cleaners,White, All other,Married,Spouse of householder,Native (Born Abroad),Asia,US,US,Married Filling Jointly both under 65 (MFJ)
17,0,High,Full-Time,36,Wholesale,Services,White, All other,Single,Child under 18 never married,Native,US,US,US,Single
78,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Nonfiler
65,0,High,Full-Time,51,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
14,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
62,1,High,Children or Armed Forces,52,Business & Repair,Admin Support (include Clerical),White, All other,Widowed,Householder,Native,US,US,US,Single
52,0,Associates degree (Vocational),Part-Time (Usually Part-Time),52,Public Administration,Management,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
10,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
24,0,High,Children or Armed Forces,52,Retail,Machine Operators & Inspectors,White, All other,Divorced,Householder,Native,US,US,US,Single
50,1,Bachelors degree,Full-Time,52,Hospitals,Professional,Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
57,1,College,Not Working,12,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,0,High,Full-Time,52,Communications,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
37,0,High,Children or Armed Forces,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
34,1,College,Children or Armed Forces,0,Retail,Sales,White, All other,Married,Child 18 or older,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
19,1,College,Children or Armed Forces,52,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
54,0,High,Children or Armed Forces,52,Agriculture,Farming & Forestry & Fishing,White, Mexican (Mexicano),Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
60,1,High,Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,Asian/Pacific, All other,Married,Householder,Foreign-born (Non-US Citizen),Asia,Asia,Asia,Married Filling Jointly one over 65 & one under 65 (MFJ)
18,1,High,Children or Armed Forces,16,Construction,Services,White, All other,Single,Child 18 or older,Native,US,US,US,Nonfiler
10,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
62,1,Associates degree (Academic),Not Working,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
39,1,Bachelors degree,Not Working,35,Not in universe or children,Unknown,White, Mexican (Mexicano),Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
5,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Single,Other relative of householder,Native,US,US,US,Nonfiler
21,0,Middle (7-8),Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,North America,US,Married Filling Jointly both under 65 (MFJ)
12,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, Puerto Rican,Single,Child under 18 never married,Native,US,US,US,Nonfiler
33,0,High,Full-Time,52,Construction,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
0,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
80,1,Middle (7-8),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Widowed,Householder,Native,US,US,US,Nonfiler
36,1,Associates degree (Vocational),Children or Armed Forces,52,Hospitals,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
54,1,College,Children or Armed Forces,6,Other professional services,Management,White, All other,Widowed,Householder,Native,US,US,US,Head of Household (HOH)
46,0,Bachelors degree,Full-Time,52,Hospitals,Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
25,1,College,Children or Armed Forces,52,Hospitals,Admin Support (include Clerical),White, Mexican-American,Married,Householder,Native,US,North America,North America,Married Filling Jointly both under 65 (MFJ)
37,1,Bachelors degree,Full-Time,38,Education,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
47,1,High,Full-Time,52,Other professional services,Admin Support (include Clerical),White, All other,Separated,Householder,Native,US,US,US,Single
15,0,Middle (7-8),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
2,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, Mexican-American,Single,Child under 18 never married,Native,US,US,US,Nonfiler
77,0,High,Children or Armed Forces,52,Finance Insurance & Real Estate,Services,White, Cuban,Married,Householder,Foreign-born (Naturalized US Citizen),North America,North America,North America,Married Filling Jointly both over 65 (MFJ)
18,0,High,Children or Armed Forces,12,Construction,Handlers/Cleaners,White, All other,Single,Child 18 or older,Native,US,US,US,Single
22,1,College,Not Working,18,Not in universe or children,Unknown,White, All other,Single,Child 18 or older,Native,US,US,US,Single
20,0,High,Children or Armed Forces,44,Manufacturing (Non-durable),Machine Operators & Inspectors,White, Mexican-American,Single,Child 18 or older,Native,US,US,North America,Single
76,0,Middle (7-8),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,Europe,Europe,Married Filling Jointly both over 65 (MFJ)
25,0,High,Children or Armed Forces,52,Utilities & Sanitary,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
58,0,College,Full-Time,52,Utilities & Sanitary,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
12,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
48,0,Bachelors degree,Children or Armed Forces,52,Agriculture,Management,Asian/Pacific, All other,Married,Householder,Foreign-born (Naturalized US Citizen),Asia,Asia,Asia,Married Filling Jointly both under 65 (MFJ)
33,1,Associates degree (Academic),Children or Armed Forces,29,Medical (except Hospitals),Professional,White, Mexican (Mexicano),Married,Spouse of householder,Foreign-born (Non-US Citizen),North America,North America,North America,Married Filling Jointly both under 65 (MFJ)
30,1,Associates degree (Vocational),Children or Armed Forces,52,Other professional services,Technicians & Support,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
62,0,High,Children or Armed Forces,52,Finance Insurance & Real Estate,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
67,0,High,Children or Armed Forces,50,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
19,1,College,Choice Part-Time,45,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
30,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Single,Householder,Native,US,US,US,Nonfiler
13,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
35,0,Masters degree,Full-Time,52,Manufacturing (Durable),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
21,0,College,Not Working,18,Not in universe or children,Unknown,White, All other,Single,Child 18 or older,Native,US,US,US,Single
57,1,High,Full-Time,38,Manufacturing (Non-durable),Craft & Repair,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
21,1,College,Full-Time,40,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
42,1,High,Children or Armed Forces,52,Retail,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
43,1,Associates degree (Vocational),Full-Time,52,Medical (except Hospitals),Services,White, All other,Single,Householder,Native,US,US,US,Single
48,0,High,Children or Armed Forces,50,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
48,0,High,Children or Armed Forces,52,Retail,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
59,1,Elementary(1-6),Full-Time,52,Transportation,Handlers/Cleaners,Black, All other,Divorced,Other relative of householder,Foreign-born (Non-US Citizen),North America,North America,North America,Single
29,1,High,Children or Armed Forces,26,Business & Repair,Craft & Repair,White, All other,Married,Other relative of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
23,0,High,Full-Time,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Single,Nonrelative of householder,Native,US,US,US,Single
57,0,High,Children or Armed Forces,50,Private Household Services,Private Household Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
44,1,Bachelors degree,Children or Armed Forces,52,Medical (except Hospitals),Professional,White, All other,Married,Spouse of householder,Native,US,US,North America,Married Filling Jointly both under 65 (MFJ)
42,1,College,Children or Armed Forces,52,Finance Insurance & Real Estate,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
25,0,High Freshman,Part-Time (Usually Part-Time),50,Construction,Handlers/Cleaners,Native American/Aleut/Eskimo, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
62,0,Professional degree,Full-Time,48,Medical (except Hospitals),Professional,White, All other,Separated,Nonrelative of householder,Native,US,US,US,Single
40,1,College,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Single,Householder,Native,US,US,US,Nonfiler
41,1,High,Children or Armed Forces,52,Wholesale,Management,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH)
49,1,College,Full-Time,52,Construction,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,1,High,Full-Time,16,Business & Repair,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
41,1,High,Children or Armed Forces,52,Manufacturing (Durable),Craft & Repair,White, All other,Married (Spouse Absent),Householder,Native,US,US,US,Head of Household (HOH)
60,0,Bachelors degree,Seeking Part-Time,52,Business & Repair,Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
24,0,Bachelors degree,Children or Armed Forces,20,Manufacturing (Non-durable),Professional,White, All other,Single,Child 18 or older,Native,US,US,US,Single
45,1,Associates degree (Vocational),Children or Armed Forces,0,Public Administration,Technicians & Support,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
37,1,Bachelors degree,Full-Time,52,Finance Insurance & Real Estate,Management,Asian/Pacific, All other,Divorced,Householder,Foreign-born (Naturalized US Citizen),US,US,US,Single
68,1,Associates degree (Academic),Children or Armed Forces,0,Not in universe or children,Unknown,Asian/Pacific, All other,Married,Householder,Foreign-born (Naturalized US Citizen),Asia,Asia,Asia,Married Filling Jointly one over 65 & one under 65 (MFJ)
48,1,High,Children or Armed Forces,52,Manufacturing (Non-durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
25,0,Associates degree (Vocational),Full-Time,51,Transportation,Craft & Repair,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
38,0,College,Full-Time,44,Finance Insurance & Real Estate,Services,Asian/Pacific, All other,Single,Other relative of householder,Foreign-born (Non-US Citizen),Asia,Asia,Asia,Single
28,1,Bachelors degree,Full-Time,52,Entertainment,Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single
50,0,Middle (7-8),Full-Time,52,Transportation,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
48,1,Bachelors degree,Children or Armed Forces,40,Social Services,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
39,1,High,Full-Time,48,Manufacturing (Non-durable),Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
73,1,Bachelors degree,Not Working,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
54,1,Masters degree,Choice Part-Time,32,Hospitals,Professional,White, All other,Single,Householder,Native,US,US,US,Single
58,0,High,Full-Time,52,Public Administration,Protective Services,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
36,0,College,Children or Armed Forces,52,Transportation,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
42,1,High,Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
31,0,High,Children or Armed Forces,52,Medical (except Hospitals),Machine Operators & Inspectors,Black, All other,Single,Householder,Native,US,US,US,Single
22,1,College,Full-Time,30,Retail,Services,Black, All other,Single,Householder,Foreign-born (Naturalized US Citizen),US,US,US,Single
46,0,High,Children or Armed Forces,52,Hospitals,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
40,1,High,Full-Time,0,Retail,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
47,0,High,Children or Armed Forces,52,Manufacturing (Non-durable),Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
24,1,Bachelors degree,Full-Time,52,Social Services,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
4,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
20,0,College,Children or Armed Forces,32,Education,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
29,0,High,Full-Time,52,Business & Repair,Craft & Repair,White, All other,Single,Child 18 or older,Native,US,US,US,Single
4,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, Mexican-American,Single,Child under 18 never married,Native,US,US,US,Nonfiler
42,0,High,Full-Time,52,Education,Management,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
39,1,High,Children or Armed Forces,47,Education,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
1,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
62,0,Associates degree (Vocational),Full-Time,52,Manufacturing (Durable),Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
58,0,Middle (7-8),Full-Time,52,Manufacturing (Non-durable),Handlers/Cleaners,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
47,1,Elementary(1-6),Full-Time,52,Finance Insurance & Real Estate,Services,White, Mexican (Mexicano),Married (Spouse Absent),Householder,Foreign-born (Non-US Citizen),North America,North America,North America,Head of Household (HOH)
33,0,High,Seeking Full-Time,52,Communications,Craft & Repair,White, All other,Married,Householder,Foreign-born (Non-US Citizen),US,US,US,Married Filling Jointly both under 65 (MFJ)
37,1,High,Children or Armed Forces,52,Personal Services (except Private Household),Sales,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH)
24,1,Bachelors degree,Full-Time,48,Entertainment,Handlers/Cleaners,White, All other,Single,Nonrelative of householder,Native,US,US,US,Single
27,0,College,Children or Armed Forces,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
37,1,High,Full-Time,52,Entertainment,Management,White, All other,Married (Armed Force Spouse),Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
39,0,Bachelors degree,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Foreign-born (Non-US Citizen),US,US,US,Married Filling Jointly both under 65 (MFJ)
22,0,College,Full-Time,50,Business & Repair,Sales,Black, All other,Single,Other relative of householder,Foreign-born (Non-US Citizen),US,US,US,Single
28,1,High,Children or Armed Forces,52,Retail,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
62,0,Masters degree,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
58,0,High Freshman,Full-Time,52,Personal Services (except Private Household),Services,Black, All other,Single,Householder,Native,US,US,US,Single
35,0,Doctorate degree,Full-Time,52,Education,Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
50,0,High,Children or Armed Forces,52,Retail,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
59,1,High,Full-Time,51,Personal Services (except Private Household),Services,Black, All other,Divorced,Householder,Foreign-born (Non-US Citizen),North America,North America,North America,Head of Household (HOH)
6,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
23,1,College,Full-Time,52,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
48,0,High,Full-Time,52,Transportation,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
30,0,College,Full-Time,52,Hospitals,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
14,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
32,1,High,Full-Time,52,Business & Repair,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
18,1,High,Full-Time,30,Entertainment,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single
28,1,High,Children or Armed Forces,52,Retail,Services,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
22,1,High,Children or Armed Forces,52,Medical (except Hospitals),Services,White, All other,Married (Armed Force Spouse),Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
72,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,North America,Nonfiler
18,1,High,Children or Armed Forces,52,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Nonfiler
17,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, Cuban,Single,Child under 18 never married,Foreign-born (Non-US Citizen),North America,North America,North America,Nonfiler
26,1,Professional degree,Children or Armed Forces,52,Education,Professional,White, All other,Single,Householder,Native,US,US,US,Single
67,1,High,Children or Armed Forces,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Widowed,Householder,Native,US,US,US,Single
66,0,Masters degree,Children or Armed Forces,26,Finance Insurance & Real Estate,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
55,0,High,Full-Time,52,Manufacturing (Non-durable),Machine Operators & Inspectors,Black, All other,Single,Householder,Native,US,US,US,Single
23,1,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
21,0,High,Children or Armed Forces,52,Retail,Transportation,White, All other,Single,Child 18 or older,Native,US,US,US,Single
67,1,High,Children or Armed Forces,46,Personal Services (except Private Household),Machine Operators & Inspectors,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
56,1,Bachelors degree,Full-Time,52,Education,Professional,White, All other,Married,Spouse of householder,Native,US,Europe,US,Married Filling Jointly both under 65 (MFJ)
51,1,High,Children or Armed Forces,52,Manufacturing (Durable),Technicians & Support,Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Non-US Citizen),Asia,Asia,Asia,Married Filling Jointly both under 65 (MFJ)
66,0,High,Children or Armed Forces,52,Retail,Sales,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ)
